,Disease,Symptom_1,Symptom_2,Symptom_3
114,Migraine, acidity, indigestion, headache
115,Migraine, acidity, indigestion, headache
116,Migraine, acidity, indigestion, headache
117,Migraine, acidity, indigestion, headache
118,Migraine, acidity, indigestion, headache
119,Migraine, acidity, indigestion, headache
120,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
121,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
122,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness
123,Cervical spondylosis, back_pain, neck_pain, dizziness
124,Cervical spondylosis, back_pain, weakness_in_limbs, dizziness
125,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
126,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
127,Cervical spondylosis, back_pain, weakness_in_limbs, neck_pain
128,Cervical spondylosis, weakness_in_limbs, neck_pain, dizziness
129,Cervical spondylosis, back_pain, neck_pain, dizziness
130,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
131,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
132,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium
133,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium
134,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium
135,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
136,Paralysis (brain hemorrhage), vomiting, headache, weakness_of_one_body_side
137,Paralysis (brain hemorrhage), headache, weakness_of_one_body_side, altered_sensorium
138,Paralysis (brain hemorrhage), vomiting, weakness_of_one_body_side, altered_sensorium
139,Paralysis (brain hemorrhage), vomiting, headache, altered_sensorium
140,Jaundice,itching, vomiting, fatigue
141,Jaundice,itching, vomiting, fatigue
142,Jaundice, vomiting, fatigue, weight_loss
143,Jaundice,itching, fatigue, weight_loss
144,Jaundice,itching, vomiting, weight_loss
145,Jaundice,itching, vomiting, fatigue
146,Jaundice,itching, vomiting, fatigue
147,Jaundice,itching, vomiting, fatigue
148,Jaundice,itching, vomiting, fatigue
149,Jaundice,itching, vomiting, fatigue
150,Malaria, chills, vomiting, high_fever
151,Malaria, chills, vomiting, high_fever
152,Malaria, chills, vomiting, high_fever
153,Malaria, vomiting, high_fever, sweating
154,Malaria, chills, high_fever, sweating
155,Malaria, chills, vomiting, sweating
156,Malaria, chills, vomiting, high_fever
157,Malaria, chills, vomiting, high_fever
158,Malaria, chills, vomiting, high_fever
159,Malaria, chills, vomiting, high_fever
160,Chicken pox,itching, skin_rash, fatigue
161,Chicken pox, skin_rash, fatigue, lethargy
162,Chicken pox,itching, fatigue, lethargy
163,Chicken pox,itching, skin_rash, lethargy
164,Chicken pox,itching, skin_rash, fatigue
165,Chicken pox,itching, skin_rash, fatigue
166,Chicken pox,itching, skin_rash, fatigue
167,Chicken pox,itching, skin_rash, fatigue
168,Chicken pox,itching, skin_rash, fatigue
169,Chicken pox,itching, skin_rash, fatigue
170,Dengue, skin_rash, chills, joint_pain
171,Dengue, skin_rash, chills, joint_pain
172,Dengue, skin_rash, chills, joint_pain
173,Dengue, skin_rash, chills, joint_pain
174,Dengue, chills, joint_pain, vomiting
175,Dengue, skin_rash, joint_pain, vomiting
176,Dengue, skin_rash, chills, vomiting
177,Dengue, skin_rash, chills, joint_pain
178,Dengue, skin_rash, chills, joint_pain
179,Dengue, skin_rash, chills, joint_pain
180,Typhoid, chills, vomiting, fatigue
181,Typhoid, chills, vomiting, fatigue
182,Typhoid, chills, vomiting, fatigue
183,Typhoid, chills, vomiting, fatigue
184,Typhoid, chills, vomiting, fatigue
185,Typhoid, chills, vomiting, fatigue
186,Typhoid, chills, vomiting, fatigue
187,Typhoid, chills, vomiting, fatigue
188,Typhoid, chills, vomiting, fatigue
189,Typhoid, chills, fatigue, high_fever
190,hepatitis A, joint_pain, vomiting, yellowish_skin
191,hepatitis A, joint_pain, vomiting, yellowish_skin
192,hepatitis A, vomiting, yellowish_skin, dark_urine
193,hepatitis A, joint_pain, yellowish_skin, dark_urine
194,hepatitis A, joint_pain, vomiting, dark_urine
195,hepatitis A, joint_pain, vomiting, yellowish_skin
196,hepatitis A, joint_pain, vomiting, yellowish_skin
197,hepatitis A, joint_pain, vomiting, yellowish_skin
198,hepatitis A, joint_pain, vomiting, yellowish_skin
199,hepatitis A, joint_pain, vomiting, yellowish_skin
200,Hepatitis B,itching, fatigue, lethargy
201,Hepatitis B,itching, fatigue, lethargy
202,Hepatitis B, fatigue, lethargy, yellowish_skin
203,Hepatitis B,itching, lethargy, yellowish_skin
204,Hepatitis B,itching, fatigue, yellowish_skin
205,Hepatitis B,itching, fatigue, lethargy
206,Hepatitis B,itching, fatigue, lethargy
207,Hepatitis B,itching, fatigue, lethargy
208,Hepatitis B,itching, fatigue, lethargy
209,Hepatitis B,itching, fatigue, lethargy
210,Hepatitis C, fatigue, yellowish_skin, nausea
211,Hepatitis C, fatigue, yellowish_skin, nausea
212,Hepatitis C, yellowish_skin, nausea, loss_of_appetite
213,Hepatitis C, fatigue, nausea, loss_of_appetite
214,Hepatitis C, fatigue, yellowish_skin, loss_of_appetite
215,Hepatitis C, fatigue, yellowish_skin, nausea
216,Hepatitis C, fatigue, yellowish_skin, nausea
217,Hepatitis C, fatigue, yellowish_skin, nausea
218,Hepatitis C, fatigue, yellowish_skin, nausea
219,Hepatitis C, fatigue, yellowish_skin, nausea
220,Hepatitis D, joint_pain, vomiting, fatigue
221,Hepatitis D, vomiting, fatigue, yellowish_skin
222,Hepatitis D, joint_pain, fatigue, yellowish_skin
223,Hepatitis D, joint_pain, vomiting, yellowish_skin
224,Hepatitis D, joint_pain, vomiting, fatigue
225,Hepatitis D, joint_pain, vomiting, fatigue
226,Hepatitis D, joint_pain, vomiting, fatigue
227,Hepatitis D, joint_pain, vomiting, fatigue
228,Hepatitis D, joint_pain, vomiting, fatigue
229,Hepatitis D, joint_pain, vomiting, fatigue
230,Hepatitis E, joint_pain, vomiting, fatigue
231,Hepatitis E, joint_pain, vomiting, fatigue
232,Hepatitis E, joint_pain, vomiting, fatigue
233,Hepatitis E, vomiting, fatigue, high_fever
234,Hepatitis E, joint_pain, fatigue, high_fever
235,Hepatitis E, joint_pain, vomiting, high_fever
236,Hepatitis E, joint_pain, vomiting, fatigue
237,Hepatitis E, joint_pain, vomiting, fatigue
238,Hepatitis E, joint_pain, vomiting, fatigue
239,Hepatitis E, joint_pain, vomiting, fatigue
240,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
241,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
242,Alcoholic hepatitis, yellowish_skin, abdominal_pain, swelling_of_stomach
243,Alcoholic hepatitis, vomiting, abdominal_pain, swelling_of_stomach
244,Alcoholic hepatitis, vomiting, yellowish_skin, swelling_of_stomach
245,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
246,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
247,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
248,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
249,Alcoholic hepatitis, vomiting, yellowish_skin, abdominal_pain
250,Tuberculosis, chills, vomiting, fatigue
251,Tuberculosis, chills, vomiting, fatigue
252,Tuberculosis, vomiting, fatigue, weight_loss
253,Tuberculosis, chills, fatigue, weight_loss
254,Tuberculosis, chills, vomiting, weight_loss
255,Tuberculosis, chills, vomiting, fatigue
256,Tuberculosis, chills, vomiting, fatigue
257,Tuberculosis, chills, vomiting, fatigue
258,Tuberculosis, chills, vomiting, fatigue
259,Tuberculosis, chills, vomiting, fatigue
260,Common Cold, continuous_sneezing, chills, fatigue
261,Common Cold, continuous_sneezing, chills, fatigue
262,Common Cold, chills, fatigue, cough
263,Common Cold, continuous_sneezing, fatigue, cough
264,Common Cold, continuous_sneezing, chills, cough
265,Common Cold, continuous_sneezing, chills, fatigue
266,Common Cold, continuous_sneezing, chills, fatigue
267,Common Cold, continuous_sneezing, chills, fatigue
268,Common Cold, continuous_sneezing, chills, fatigue
269,Common Cold, continuous_sneezing, chills, fatigue
270,Pneumonia, chills, fatigue, cough
271,Pneumonia, chills, fatigue, cough
272,Pneumonia, chills, fatigue, cough
273,Pneumonia, fatigue, cough, high_fever
274,Pneumonia, chills, cough, high_fever
275,Pneumonia, chills, fatigue, high_fever
276,Pneumonia, chills, fatigue, cough
277,Pneumonia, chills, fatigue, cough
278,Pneumonia, chills, fatigue, cough
279,Pneumonia, chills, fatigue, cough
280,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
281,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
282,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
283,Dimorphic hemmorhoids(piles), pain_during_bowel_movements, pain_in_anal_region, bloody_stool
284,Dimorphic hemmorhoids(piles), constipation, pain_in_anal_region, bloody_stool
285,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, bloody_stool
286,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
287,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
288,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
289,Dimorphic hemmorhoids(piles), constipation, pain_during_bowel_movements, pain_in_anal_region
290,Heart attack, vomiting, breathlessness, sweating
291,Heart attack, vomiting, breathlessness, sweating
292,Heart attack, breathlessness, sweating, chest_pain
293,Heart attack, vomiting, sweating, chest_pain
294,Heart attack, vomiting, breathlessness, chest_pain
295,Heart attack, vomiting, breathlessness, sweating
296,Heart attack, vomiting, breathlessness, sweating
297,Heart attack, breathlessness, sweating, chest_pain
298,Heart attack, vomiting, sweating, chest_pain
299,Heart attack, vomiting, breathlessness, chest_pain
300,Varicose veins, fatigue, cramps, bruising
301,Varicose veins, fatigue, cramps, bruising
302,Varicose veins, cramps, bruising, obesity
303,Varicose veins, fatigue, bruising, obesity
304,Varicose veins, fatigue, cramps, obesity
305,Varicose veins, fatigue, cramps, bruising
306,Varicose veins, fatigue, cramps, bruising
307,Varicose veins, fatigue, cramps, bruising
308,Varicose veins, fatigue, cramps, bruising
309,Varicose veins, fatigue, cramps, bruising
310,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
311,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
312,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings
313,Hypothyroidism, weight_gain, cold_hands_and_feets, mood_swings
314,Hypothyroidism, fatigue, cold_hands_and_feets, mood_swings
315,Hypothyroidism, fatigue, weight_gain, mood_swings
316,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
317,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
318,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
319,Hypothyroidism, fatigue, weight_gain, cold_hands_and_feets
320,Hyperthyroidism, fatigue, mood_swings, weight_loss
321,Hyperthyroidism, fatigue, mood_swings, weight_loss
322,Hyperthyroidism, mood_swings, weight_loss, restlessness
323,Hyperthyroidism, fatigue, weight_loss, restlessness
324,Hyperthyroidism, fatigue, mood_swings, restlessness
325,Hyperthyroidism, fatigue, mood_swings, weight_loss
326,Hyperthyroidism, fatigue, mood_swings, weight_loss
327,Hyperthyroidism, fatigue, mood_swings, weight_loss
328,Hyperthyroidism, fatigue, mood_swings, weight_loss
329,Hyperthyroidism, fatigue, mood_swings, weight_loss
330,Hypoglycemia, vomiting, fatigue, anxiety
331,Hypoglycemia, vomiting, fatigue, anxiety
332,Hypoglycemia, vomiting, fatigue, anxiety
333,Hypoglycemia, fatigue, anxiety, sweating
334,Hypoglycemia, vomiting, anxiety, sweating
335,Hypoglycemia, vomiting, fatigue, sweating
336,Hypoglycemia, vomiting, fatigue, anxiety
337,Hypoglycemia, vomiting, fatigue, anxiety
338,Hypoglycemia, vomiting, fatigue, anxiety
339,Hypoglycemia, vomiting, fatigue, anxiety
340,Osteoarthristis, joint_pain, neck_pain, knee_pain
341,Osteoarthristis, joint_pain, neck_pain, knee_pain
342,Osteoarthristis, neck_pain, knee_pain, hip_joint_pain
343,Osteoarthristis, joint_pain, knee_pain, hip_joint_pain
344,Osteoarthristis, joint_pain, neck_pain, hip_joint_pain
345,Osteoarthristis, joint_pain, neck_pain, knee_pain
346,Osteoarthristis, joint_pain, neck_pain, knee_pain
347,Osteoarthristis, joint_pain, neck_pain, knee_pain
348,Osteoarthristis, joint_pain, neck_pain, knee_pain
349,Osteoarthristis, joint_pain, neck_pain, knee_pain
350,Arthritis, muscle_weakness, stiff_neck, swelling_joints
351,Arthritis, muscle_weakness, stiff_neck, swelling_joints
352,Arthritis, stiff_neck, swelling_joints, movement_stiffness
353,Arthritis, muscle_weakness, swelling_joints, movement_stiffness
354,Arthritis, muscle_weakness, stiff_neck, movement_stiffness
355,Arthritis, muscle_weakness, stiff_neck, swelling_joints
356,Arthritis, muscle_weakness, stiff_neck, swelling_joints
357,Arthritis, muscle_weakness, stiff_neck, swelling_joints
358,Arthritis, muscle_weakness, stiff_neck, swelling_joints
359,Arthritis, muscle_weakness, stiff_neck, swelling_joints
360,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
361,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
362,(vertigo) Paroymsal  Positional Vertigo, headache, nausea, spinning_movements
363,(vertigo) Paroymsal  Positional Vertigo, vomiting, nausea, spinning_movements
364,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, spinning_movements
365,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
366,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
367,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
368,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
369,(vertigo) Paroymsal  Positional Vertigo, vomiting, headache, nausea
370,Acne, skin_rash, pus_filled_pimples, blackheads
371,Acne, skin_rash, pus_filled_pimples, blackheads
372,Acne, pus_filled_pimples, blackheads, scurring
373,Acne, skin_rash, blackheads, scurring
374,Acne, skin_rash, pus_filled_pimples, scurring
375,Acne, skin_rash, pus_filled_pimples, blackheads
376,Acne, skin_rash, pus_filled_pimples, blackheads
377,Acne, skin_rash, pus_filled_pimples, blackheads
378,Acne, skin_rash, pus_filled_pimples, scurring
379,Acne, skin_rash, blackheads, scurring
380,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
381,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
382,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
383,Urinary tract infection, burning_micturition, foul_smell_of urine, continuous_feel_of_urine
384,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine
385,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
386,Urinary tract infection, burning_micturition, bladder_discomfort, foul_smell_of urine
387,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine
388,Urinary tract infection, bladder_discomfort, foul_smell_of urine, continuous_feel_of_urine
389,Urinary tract infection, burning_micturition, bladder_discomfort, continuous_feel_of_urine
390,Psoriasis, skin_rash, joint_pain, skin_peeling
391,Psoriasis, skin_rash, joint_pain, skin_peeling
392,Psoriasis, joint_pain, skin_peeling, silver_like_dusting
393,Psoriasis, skin_rash, skin_peeling, silver_like_dusting
394,Psoriasis, skin_rash, joint_pain, silver_like_dusting
395,Psoriasis, skin_rash, joint_pain, skin_peeling
396,Psoriasis, skin_rash, joint_pain, skin_peeling
397,Psoriasis, skin_rash, joint_pain, skin_peeling
398,Psoriasis, skin_rash, joint_pain, skin_peeling
399,Psoriasis, skin_rash, joint_pain, skin_peeling
400,Impetigo, skin_rash, high_fever, blister
401,Impetigo, skin_rash, high_fever, blister
402,Impetigo, high_fever, blister, red_sore_around_nose
403,Impetigo, skin_rash, blister, red_sore_around_nose
404,Impetigo, skin_rash, blister, red_sore_around_nose
405,Impetigo, skin_rash, high_fever, red_sore_around_nose
406,Impetigo, skin_rash, high_fever, blister
407,Impetigo, skin_rash, high_fever, blister
408,Impetigo, skin_rash, high_fever, blister
409,Impetigo, skin_rash, blister, red_sore_around_nose
410,Fungal infection,itching, skin_rash, nodal_skin_eruptions
411,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
412,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
413,Fungal infection,itching, skin_rash, dischromic _patches
414,Fungal infection,itching, skin_rash, nodal_skin_eruptions
415,Fungal infection, skin_rash, nodal_skin_eruptions, dischromic _patches
416,Fungal infection,itching, nodal_skin_eruptions, dischromic _patches
417,Fungal infection,itching, skin_rash, dischromic _patches
418,Fungal infection,itching, skin_rash, nodal_skin_eruptions
419,Fungal infection,itching, skin_rash, nodal_skin_eruptions
420,Allergy, continuous_sneezing, shivering, chills
421,Allergy, shivering, chills, watering_from_eyes
422,Allergy, continuous_sneezing, chills, watering_from_eyes
423,Allergy, continuous_sneezing, shivering, watering_from_eyes
424,Allergy, continuous_sneezing, shivering, chills
425,Allergy, shivering, chills, watering_from_eyes
426,Allergy, continuous_sneezing, chills, watering_from_eyes
427,Allergy, continuous_sneezing, shivering, watering_from_eyes
428,Allergy, continuous_sneezing, shivering, chills
429,Allergy, continuous_sneezing, shivering, chills
430,GERD, stomach_pain, acidity, ulcers_on_tongue
431,GERD, stomach_pain, ulcers_on_tongue, vomiting
432,GERD, stomach_pain, acidity, vomiting
433,GERD, stomach_pain, acidity, ulcers_on_tongue
434,GERD, stomach_pain, acidity, ulcers_on_tongue
435,GERD, stomach_pain, acidity, ulcers_on_tongue
436,GERD, acidity, ulcers_on_tongue, vomiting
437,GERD, stomach_pain, ulcers_on_tongue, vomiting
438,GERD, stomach_pain, acidity, vomiting
439,GERD, stomach_pain, acidity, ulcers_on_tongue
440,Chronic cholestasis,itching, vomiting, yellowish_skin
441,Chronic cholestasis, vomiting, yellowish_skin, nausea
442,Chronic cholestasis,itching, yellowish_skin, nausea
443,Chronic cholestasis,itching, vomiting, nausea
444,Chronic cholestasis,itching, vomiting, yellowish_skin
445,Chronic cholestasis,itching, vomiting, yellowish_skin
446,Chronic cholestasis,itching, vomiting, yellowish_skin
447,Chronic cholestasis,itching, vomiting, yellowish_skin
448,Chronic cholestasis,itching, vomiting, yellowish_skin
449,Chronic cholestasis,itching, vomiting, yellowish_skin
450,Drug Reaction,itching, skin_rash, stomach_pain
451,Drug Reaction,itching, stomach_pain, burning_micturition
452,Drug Reaction,itching, skin_rash, burning_micturition
453,Drug Reaction,itching, skin_rash, stomach_pain
454,Drug Reaction,itching, skin_rash, stomach_pain
455,Drug Reaction, skin_rash, stomach_pain, burning_micturition
456,Drug Reaction,itching, stomach_pain, burning_micturition
457,Drug Reaction,itching, skin_rash, burning_micturition
458,Drug Reaction,itching, skin_rash, stomach_pain
459,Drug Reaction,itching, skin_rash, stomach_pain
460,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
461,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
462,Peptic ulcer diseae, indigestion, loss_of_appetite, abdominal_pain
463,Peptic ulcer diseae, vomiting, loss_of_appetite, abdominal_pain
464,Peptic ulcer diseae, vomiting, indigestion, abdominal_pain
465,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
466,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
467,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
468,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
469,Peptic ulcer diseae, vomiting, indigestion, loss_of_appetite
470,AIDS, muscle_wasting, patches_in_throat, high_fever
471,AIDS, patches_in_throat, high_fever, extra_marital_contacts
472,AIDS, muscle_wasting, high_fever, extra_marital_contacts
473,AIDS, muscle_wasting, patches_in_throat, extra_marital_contacts
474,AIDS, muscle_wasting, patches_in_throat, high_fever
475,AIDS, muscle_wasting, patches_in_throat, high_fever
476,AIDS, muscle_wasting, patches_in_throat, high_fever
477,AIDS, patches_in_throat, high_fever, extra_marital_contacts
478,AIDS, muscle_wasting, high_fever, extra_marital_contacts
479,AIDS, muscle_wasting, patches_in_throat, high_fever
480,Diabetes , fatigue, weight_loss, restlessness
481,Diabetes , fatigue, weight_loss, restlessness
482,Diabetes , weight_loss, restlessness, lethargy
483,Diabetes , fatigue, restlessness, lethargy
484,Diabetes , fatigue, weight_loss, lethargy
485,Diabetes , fatigue, weight_loss, restlessness
486,Diabetes , fatigue, weight_loss, restlessness
487,Diabetes , fatigue, weight_loss, restlessness
488,Diabetes , fatigue, weight_loss, restlessness
489,Diabetes , fatigue, weight_loss, restlessness
490,Gastroenteritis, vomiting, sunken_eyes, dehydration
491,Gastroenteritis, vomiting, sunken_eyes, dehydration
492,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
493,Gastroenteritis, vomiting, dehydration, diarrhoea
494,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
495,Gastroenteritis, vomiting, sunken_eyes, dehydration
496,Gastroenteritis, vomiting, sunken_eyes, dehydration
497,Gastroenteritis, sunken_eyes, dehydration, diarrhoea
498,Gastroenteritis, vomiting, dehydration, diarrhoea
499,Gastroenteritis, vomiting, sunken_eyes, diarrhoea
500,Bronchial Asthma, fatigue, cough, high_fever
501,Bronchial Asthma, cough, high_fever, breathlessness
502,Bronchial Asthma, fatigue, high_fever, breathlessness
503,Bronchial Asthma, fatigue, cough, breathlessness
